url,num_tour,inscrits_nb,abstention_nb,abstention_pourc,votants_nb,blancs_nb,blancs_pourc_inscrits,blancs_pourc_votants,nuls_nb,nuls_pourc_inscrits,nuls_pourc_votants,exprimes_nb,exprimes_pourc_inscrits,exprimes_pourc_votants,cand_num_panneau,cand_nom,cand_prenom,cand_civil,cand_nb_voix,cand_rapport_exprim,cand_rapport_inscrits
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,1,ARTHAUD,Nathalie,Mme,197184,0.56,0.40
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,2,ROUSSEL,Fabien,M.,802615,2.28,1.65
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,3,MACRON,Emmanuel,M.,9785578,27.84,20.07
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,4,LASSALLE,Jean,M.,1101690,3.13,2.26
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,5,LE PEN,Marine,Mme,8136369,23.15,16.69
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,6,ZEMMOUR,Éric,M.,2485935,7.07,5.10
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,7,MÉLENCHON,Jean-Luc,M.,7714949,21.95,15.83
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,8,HIDALGO,Anne,Mme,616651,1.75,1.26
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,9,JADOT,Yannick,M.,1628337,4.63,3.34
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,10,PÉCRESSE,Valérie,Mme,1679470,4.78,3.45
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,11,POUTOU,Philippe,M.,268984,0.77,0.55
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/FE.xml,1,48747914,12824135,26.31,35923779,543638,1.12,1.51,237023,0.49,0.66,35143118,72.09,97.83,12,DUPONT-AIGNAN,Nicolas,M.,725356,2.06,1.49
